"","CustomerID","recency","frequency","monitery","frequency_standard","monitery_standard","cluster","segmentation","recency_segment"
"1","12346",348,1,77183.6,-0.425047502904057,42.7290912207481,1,"Special Value","Inactive"
"2","12347",25,7,615.71,0.354375944016247,0.109403754527361,2,"Low Value","Active"
"3","12348",98,4,449.31,-0.035335779443905,0.0167787775670874,2,"Low Value","Cold"
"4","12349",41,1,1757.55,-0.425047502904057,0.744979372511891,2,"Low Value","Warm"
"5","12350",333,1,334.4,-0.425047502904057,-0.0471831333705902,2,"Low Value","Inactive"
"6","12352",59,8,313.26,0.484279851836298,-0.0589529933199175,2,"Low Value","Warm"
"7","12353",227,1,89,-0.425047502904057,-0.183779190668528,2,"Low Value","Inactive"
"8","12354",255,1,1079.4,-0.425047502904057,0.367503348646378,2,"Low Value","Inactive"
"9","12355",237,1,459.4,-0.425047502904057,0.0223951354242031,2,"Low Value","Inactive"
"10","12356",45,3,937.14,-0.165239687263956,0.288319567916901,2,"Low Value","Warm"
"11","12357",56,1,6207.67,-0.425047502904057,3.22203253674458,2,"Low Value","Warm"
"12","12358",24,2,584.03,-0.295143595084006,0.0917674525433639,2,"Low Value","Active"
"13","12359",80,4,1593.14,-0.035335779443905,0.653467250262227,2,"Low Value","Warm"
"14","12360",75,3,887.35,-0.165239687263956,0.260605151890559,2,"Low Value","Warm"
"15","12361",310,1,189.9,-0.425047502904057,-0.127615612097371,2,"Low Value","Inactive"
"16","12362",26,10,522.62,0.744087667476399,0.0575867105283088,2,"Low Value","Active"
"17","12363",132,2,276,-0.295143595084006,-0.0796901005515177,2,"Low Value","Cold"
"18","12364",30,4,328.28,-0.035335779443905,-0.0505924685415351,2,"Low Value","Active"
"19","12365",314,2,320.69,-0.295143595084006,-0.0548144778920032,2,"Low Value","Inactive"
"20","12367",27,1,168.9,-0.425047502904057,-0.139304761254897,2,"Low Value","Active"
"21","12370",74,4,886.42,-0.035335779443905,0.2600870257156,2,"Low Value","Warm"
"22","12371",67,2,943.98,-0.295143595084006,0.292125035364851,2,"Low Value","Warm"
"23","12372",94,3,432.68,-0.165239687263956,0.00752208468662809,2,"Low Value","Cold"
